ixdat version = 0.2.2dev
name = 2022-04-06 14_48_52 HER on Pt repeatability.tsv
technique = EC-MS
tstamp = 1649249332.0
backend_name = BackendBase(none, address=none)
id = 4
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
92.48621010780334,	0.02370756,	0.004575553,	0,	40.24140000343323,	3.104464e-12,	40.09241008758545,	1.989491e-10,	40.01741003990173,	4.084062e-09,	39.94341993331909,	3.730209e-08,	40.166409969329834,	2.228702e-10,	40.31539988517761,	6.328044e-11,	39.868419885635376,	2.210358e-09
92.64740991592407,	0.02705047,	0.005275628,	0,	40.80346989631653,	3.261809e-12,	40.65447998046875,	2.022972e-10,	40.580480098724365,	4.043643e-09,	40.50549006462097,	3.696093e-08,	40.729470014572144,	2.230344e-10,	40.878469944000244,	6.334107e-11,	40.43148994445801,	2.211257e-09
92.81440997123718,	0.03028624,	0.005898595,	0,	41.365520000457764,	3.256145e-12,	41.216530084609985,	2.011266e-10,	41.14154005050659,	4.076409e-09,	41.06754994392395,	3.725273e-08,	41.29052996635437,	2.252261e-10,	41.43951988220215,	6.220288e-11,	40.992549896240234,	2.215163e-09
92.96960997581482,	0.03324712,	0.006472703,	0,	41.92847990989685,	2.958775e-12,	41.77948999404907,	2.001779e-10,	41.70449995994568,	4.012571e-09,	41.630500078201294,	3.703374e-08,	41.853480100631714,	2.227316e-10,	42.00247001647949,	6.314772e-11,	41.5555100440979,	2.202956e-09
93.14340996742249,	0.0368841,	0.007185756,	0,	42.49111008644104,	3.377331e-12,	42.34211993217468,	2.02176e-10,	42.2681200504303,	4.062283e-09,	42.193130016326904,	3.709687e-08,	42.417109966278076,	2.244374e-10,	42.56610989570618,	6.335987e-11,	42.11912989616394,	2.212782e-09
93.31580996513367,	0.04010092,	0.007841552,	0,	43.05375003814697,	2.972438e-12,	42.904759883880615,	1.999402e-10,	42.83076000213623,	4.075605e-09,	42.75576996803284,	3.712413e-08,	42.97974991798401,	2.199534e-10,	43.128740072250366,	6.270907e-11,	42.68177008628845,	2.206195e-09
93.47301006317139,	0.04345906,	0.008506128,	0,	43.61669993400574,	3.092799e-12,	43.46771001815796,	2.018871e-10,	43.39270997047424,	4.026585e-09,	43.31872010231018,	3.730985e-08,	43.54169988632202,	2.196147e-10,	43.69069004058838,	6.335052e-11,	43.243720054626465,	2.211975e-09
93.64640998840332,	0.04671781,	0.009145509,	0,	44.17823004722595,	2.960104e-12,	44.029239892959595,	2.014361e-10,	43.95525002479553,	4.036504e-09,	43.880249977111816,	3.703517e-08,	44.10422992706299,	2.204083e-10,	44.253220081329346,	6.32082e-11,	43.806260108947754,	2.200683e-09
93.80181002616882,	0.05007214,	0.009807412,	0,	44.741389989852905,	2.994879e-12,	44.59240007400513,	2.021161e-10,	44.518409967422485,	4.088808e-09,	44.44340991973877,	3.709133e-08,	44.66739010810852,	2.23284e-10,	44.8163800239563,	6.202432e-11,	44.36942005157471,	2.197897e-09
93.95780992507935,	0.05304436,	0.01040022,	0,	45.30420994758606,	3.195521e-12,	45.15522003173828,	2.014424e-10,	45.08022999763489,	4.039381e-09,	45.0062301158905,	3.712005e-08,	45.229209899902344,	2.235353e-10,	45.3782000541687,	6.305991e-11,	44.93124008178711,	2.192752e-09
94.13501000404358,	0.05667381,	0.01109992,	0,	45.8671600818634,	2.945153e-12,	45.718169927597046,	2.00961e-10,	45.64317989349365,	4.030713e-09,	45.56919002532959,	3.725203e-08,	45.79217004776001,	2.234337e-10,	45.94115996360779,	6.317622e-11,	45.494189977645874,	2.204975e-09
94.3006100654602,	0.05999367,	0.0117622,	0,	46.4297399520874,	3.300373e-12,	46.280750036239624,	2.012715e-10,	46.20675992965698,	4.072705e-09,	46.13175988197327,	3.726048e-08,	46.35575008392334,	2.222863e-10,	46.50473999977112,	6.273999e-11,	46.057770013809204,	2.206872e-09
94.45820999145508,	0.06324869,	0.0124764,	0,	46.99244999885559,	3.095602e-12,	46.84346008300781,	2.047583e-10,	46.76847004890442,	4.100338e-09,	46.694469928741455,	3.704501e-08,	46.9174599647522,	2.229064e-10,	47.066450119018555,	6.372373e-11,	46.61947989463806,	2.210507e-09
