ixdat version = 0.2.2dev
name = 2022-04-07 11_53_00 HER on Pt repeatability.tsv
technique = EC-MS
tstamp = 1649325180.0
backend_name = BackendBase(none, address=none)
id = 5
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
23.125420093536377,	1.119353,	6.896244e-05,	0,	16.051949977874756,	3.175536e-12,	15.902960062026978,	1.802135e-10,	15.828959941864014,	3.50462e-09,	15.753959894180298,	3.987432e-08,	15.977950096130371,	1.75012e-10,	16.12694001197815,	3.498983e-11,	15.679970026016235,	2.231682e-09
23.2814199924469,	1.119322,	-0.000211602,	0,	16.6148099899292,	3.471183e-12,	16.46582007408142,	1.774952e-10,	16.39182996749878,	3.476136e-09,	16.316829919815063,	3.975145e-08,	16.540819883346558,	1.73686e-10,	16.689810037612915,	3.527779e-11,	16.242840051651,	2.239408e-09
23.437619924545288,	1.119368,	-2.95214e-05,	0,	17.17839002609253,	3.179806e-12,	17.02939009666443,	1.798643e-10,	16.954400062561035,	3.459336e-09,	16.88039994239807,	3.951732e-08,	17.103389978408813,	1.749e-10,	17.252389907836914,	3.512325e-11,	16.805399894714355,	2.229675e-09
23.60881996154785,	1.119353,	-0.000157016,	0,	17.740190029144287,	3.331074e-12,	17.59120011329651,	1.786928e-10,	17.517199993133545,	3.502742e-09,	17.44219994544983,	3.940111e-08,	17.666189908981323,	1.765234e-10,	17.815190076828003,	3.555713e-11,	17.368210077285767,	2.221312e-09
23.780420064926147,	1.11938,	0.0001617205,	0,	18.302930116653442,	3.290332e-12,	18.153939962387085,	1.785214e-10,	18.0799400806427,	3.460455e-09,	18.004950046539307,	3.946294e-08,	18.22892999649048,	1.765502e-10,	18.37792992591858,	3.511497e-11,	17.930949926376343,	2.223244e-09
23.96862006187439,	1.119334,	-4.364506e-05,	0,	18.86590003967285,	3.181215e-12,	18.716909885406494,	1.796699e-10,	18.641910076141357,	3.468008e-09,	18.567909955978394,	3.95066e-08,	18.790899991989136,	1.760593e-10,	18.939889907836914,	3.46573e-11,	18.492919921875,	2.232379e-09
24.123820066452026,	1.119322,	0.0001250753,	0,	19.428580045700073,	3.293229e-12,	19.279589891433716,	1.78786e-10,	19.20459008216858,	3.459147e-09,	19.130599975585938,	3.924619e-08,	19.353579998016357,	1.747749e-10,	19.502569913864136,	3.516598e-11,	19.05559992790222,	2.212361e-09
24.280420064926147,	1.119322,	-8.677944e-05,	0,	19.99072003364563,	3.231606e-12,	19.84173011779785,	1.800521e-10,	19.76774001121521,	3.485961e-09,	19.692739963531494,	3.958661e-08,	19.91672992706299,	1.722543e-10,	20.065720081329346,	3.522131e-11,	19.61875009536743,	2.223686e-09
24.436619997024536,	1.11936,	0.0001857689,	0,	20.55364990234375,	3.136264e-12,	20.40465998649597,	1.791579e-10,	20.329669952392578,	3.458923e-09,	20.255670070648193,	3.937561e-08,	20.478660106658936,	1.747625e-10,	20.627650022506714,	3.460592e-11,	20.1806800365448,	2.224051e-09
24.59421992301941,	1.11938,	-0.0001940429,	0,	21.11628007888794,	3.150842e-12,	20.967299938201904,	1.800083e-10,	20.89229989051819,	3.451276e-09,	20.818310022354126,	3.965937e-08,	21.041290044784546,	1.750592e-10,	21.190279960632324,	3.512595e-11,	20.74330997467041,	2.23252e-09
