ixdat version = 0.2.2dev
name = 2022-04-07 13_20_11 HER on Pt repeatability non-aqu.tsv
technique = EC-MS
tstamp = 1649330411.0
backend_name = BackendBase(none, address=none)
id = 1
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
342.5815999507904,	0.929612,	6.209147e-05,	0,	24.54596996307373,	9.091916e-10,	24.39697003364563,	8.213641e-08,	24.321969985961914,	2.491577e-09,	24.24798011779785,	4.219662e-09,	24.470969915390015,	2.242883e-08,	24.619960069656372,	1.400101e-10,	24.172980070114136,	1.865097e-09
342.739000082016,	0.9296846,	0.0001968388,	0,	25.10696005821228,	9.163951e-10,	24.957969903945923,	8.244929e-08,	24.883970022201538,	2.481754e-09,	24.808979988098145,	4.21976e-09,	25.032959938049316,	2.219519e-08,	25.181950092315674,	1.393293e-10,	24.734989881515503,	1.860269e-09
342.89219999313354,	0.929654,	-0.0005417901,	0,	25.670010089874268,	9.157491e-10,	25.52101993560791,	8.260208e-08,	25.446029901504517,	2.509153e-09,	25.372030019760132,	4.234193e-09,	25.595020055770874,	2.24672e-08,	25.744009971618652,	1.377839e-10,	25.29703998565674,	1.855817e-09
343.09699988365173,	0.9296005,	0.0002308119,	0,	26.232969999313354,	9.133987e-10,	26.083980083465576,	8.2824e-08,	26.00898003578186,	2.490176e-09,	25.93498992919922,	4.187046e-09,	26.15796995162964,	2.245631e-08,	26.306960105895996,	1.372977e-10,	25.859999895095825,	1.863445e-09
343.26780009269714,	0.9295928,	7.277964e-05,	0,	26.794919967651367,	9.108595e-10,	26.64594006538391,	8.258389e-08,	26.571939945220947,	2.468178e-09,	26.496949911117554,	4.184281e-09,	26.720930099487305,	2.233193e-08,	26.869920015335083,	1.382608e-10,	26.42295002937317,	1.859082e-09
343.4235999584198,	0.9296044,	0.0001537043,	0,	27.357889890670776,	9.187786e-10,	27.208899974822998,	8.212186e-08,	27.134910106658936,	2.467524e-09,	27.05991005897522,	4.165116e-09,	27.28389000892639,	2.22748e-08,	27.43287992477417,	1.380378e-10,	26.985919952392578,	1.854556e-09
343.5808000564575,	0.9296044,	-0.0001997687,	0,	27.920989990234375,	9.180041e-10,	27.77201008796692,	8.227467e-08,	27.697010040283203,	2.490232e-09,	27.62301993370056,	4.198738e-09,	27.84599995613098,	2.211675e-08,	27.99499011039734,	1.381539e-10,	27.548019886016846,	1.862384e-09
343.7376000881195,	0.9296272,	-0.0001745751,	0,	28.48312997817993,	9.213807e-10,	28.334140062332153,	8.268215e-08,	28.26013994216919,	2.477182e-09,	28.185149908065796,	4.174083e-09,	28.409130096435547,	2.230104e-08,	28.558130025863647,	1.36716e-10,	28.11115002632141,	1.854874e-09
343.8945999145508,	0.92957,	0.0002941774,	0,	29.04619002342224,	9.200941e-10,	28.897200107574463,	8.226377e-08,	28.82321000099182,	2.459496e-09,	28.748209953308105,	4.182905e-09,	28.9721999168396,	2.207853e-08,	29.121190071105957,	1.351538e-10,	28.674220085144043,	1.854192e-09
344.05159997940063,	0.9295738,	-0.0002722955,	0,	29.608649969100952,	9.115839e-10,	29.459660053253174,	8.298046e-08,	29.38467001914978,	2.468817e-09,	29.310669898986816,	4.204094e-09,	29.53365993499756,	2.240181e-08,	29.682640075683594,	1.372458e-10,	29.235680103302002,	1.860113e-09
