ixdat version = 0.2.2dev
name = 2022-04-07 10_10_27 OER on Pt repeatability.tsv
technique = EC-MS
tstamp = 1649319027.0
backend_name = BackendBase(none, address=none)
id = 2
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
661.2980999946594,	0.9212119,	0.0001006452,	0,	16.66426992416382,	9.028394e-10,	16.51528000831604,	8.470126e-08,	16.440289974212646,	3.702997e-09,	16.366300106048584,	1.125649e-12,	16.58927011489868,	2.07495e-08,	16.73826003074646,	1.313712e-10,	16.291300058364868,	1.757072e-09
661.4697000980377,	0.9211661,	-0.0002043493,	0,	17.226749897003174,	9.056113e-10,	17.077759981155396,	8.50287e-08,	17.00376009941101,	3.700343e-09,	16.928770065307617,	1.213258e-12,	17.15275001525879,	2.068103e-08,	17.301739931106567,	1.357435e-10,	16.854769945144653,	1.751926e-09
661.6401000022888,	0.9211317,	0.0001689732,	0,	17.78923988342285,	9.014606e-10,	17.640249967575073,	8.512328e-08,	17.56626009941101,	3.703659e-09,	17.491270065307617,	1.033901e-12,	17.71525001525879,	2.059746e-08,	17.864229917526245,	1.3203e-10,	17.417279958724976,	1.741896e-09
661.8138999938965,	0.9211584,	0.0001212581,	0,	18.35297989845276,	9.014411e-10,	18.20398998260498,	8.542887e-08,	18.128989934921265,	3.729761e-09,	18.055000066757202,	9.964381e-13,	18.277990102767944,	2.077422e-08,	18.426980018615723,	1.305385e-10,	17.980000019073486,	1.748432e-09
661.9697000980377,	0.9211776,	-7.914504e-05,	0,	18.914949893951416,	8.953894e-10,	18.765959978103638,	8.495955e-08,	18.691970109939575,	3.705115e-09,	18.61697006225586,	1.251018e-12,	18.840960025787354,	2.083506e-08,	18.989949941635132,	1.308458e-10,	18.542969942092896,	1.748222e-09
662.1389000415802,	0.9211623,	-0.000299016,	0,	19.477880001068115,	9.050813e-10,	19.328890085220337,	8.48177e-08,	19.254889965057373,	3.674703e-09,	19.179889917373657,	1.27953e-12,	19.40387988090515,	2.081221e-08,	19.55287003517151,	1.317337e-10,	19.105900049209595,	1.744945e-09
662.2950999736786,	0.9212272,	-0.0001581612,	0,	20.040499925613403,	8.923321e-10,	19.891510009765625,	8.51851e-08,	19.81651997566223,	3.697531e-09,	19.742520093917847,	1.420253e-12,	19.96550989151001,	2.079109e-08,	20.114500045776367,	1.290535e-10,	19.667530059814453,	1.738142e-09
662.4516999721527,	0.9211776,	-0.0001142633,	0,	20.60336995124817,	9.012229e-10,	20.45438003540039,	8.517053e-08,	20.379390001296997,	3.712977e-09,	20.305389881134033,	1.208445e-12,	20.528379917144775,	2.071134e-08,	20.677370071411133,	1.266422e-10,	20.23040008544922,	1.749967e-09
662.6094999313354,	0.9211661,	0.0001640108,	0,	21.165630102157593,	9.044181e-10,	21.016639947891235,	8.529786e-08,	20.942650079727173,	3.665619e-09,	20.867650032043457,	1.213819e-12,	21.09163999557495,	2.072272e-08,	21.24062991142273,	1.272102e-10,	20.793649911880493,	1.744167e-09
662.7757000923157,	0.9211738,	4.491406e-05,	0,	21.728319883346558,	9.020576e-10,	21.57932996749878,	8.51232e-08,	21.504329919815063,	3.68662e-09,	21.430340051651,	1.302423e-12,	21.65332007408142,	2.073009e-08,	21.8023099899292,	1.331903e-10,	21.355340003967285,	1.746466e-09
662.9230999946594,	0.9211661,	0.000435414,	0,	22.29155993461609,	9.033251e-10,	22.14257001876831,	8.610547e-08,	22.067569971084595,	3.668793e-09,	21.993580102920532,	1.221927e-12,	22.216559886932373,	2.077079e-08,	22.36555004119873,	1.287647e-10,	21.918580055236816,	1.740408e-09
663.0792999267578,	0.9211699,	-0.0002257256,	0,	22.853519916534424,	8.928437e-10,	22.704530000686646,	8.538516e-08,	22.630539894104004,	3.638201e-09,	22.555540084838867,	1.220771e-12,	22.77953004837036,	2.074422e-08,	22.92851996421814,	1.286658e-10,	22.481549978256226,	1.746209e-09
663.2367000579834,	0.9211852,	-0.0002333601,	0,	23.416529893875122,	9.022124e-10,	23.26752996444702,	8.47194e-08,	23.19354009628296,	3.645894e-09,	23.118540048599243,	1.398336e-12,	23.342530012130737,	2.048067e-08,	23.491519927978516,	1.293537e-10,	23.0445499420166,	1.747109e-09
663.3936998844147,	0.9212043,	-2.265043e-05,	0,	23.97866988182068,	8.98604e-10,	23.8296799659729,	8.421737e-08,	23.754689931869507,	3.654746e-09,	23.680690050125122,	1.433849e-12,	23.903670072555542,	2.05722e-08,	24.05265998840332,	1.292954e-10,	23.60570001602173,	1.730451e-09
663.5659000873566,	0.9212348,	-5.96773e-05,	0,	24.54099988937378,	8.984277e-10,	24.392019987106323,	8.479949e-08,	24.31802010536194,	3.647777e-09,	24.243030071258545,	1.159614e-12,	24.467010021209717,	2.05027e-08,	24.615999937057495,	1.261818e-10,	24.16902995109558,	1.74047e-09
