ixdat version = 0.2.2dev
name = 2022-03-30 12_51_35 OER on Pt repeatability.tsv
technique = EC-MS
tstamp = 1648637495.0
backend_name = BackendBase(none, address=none)
id = 1
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
102.40779995918274,	0.8719611,	-7.234286e-05,	0,	23.42899990081787,	3.05558e-12,	23.27999997138977,	1.811467e-10,	23.204999923706055,	3.165745e-09,	23.13100004196167,	3.958665e-08,	23.354000091552734,	1.117754e-10,	23.503000020980835,	4.111666e-11,	23.056010007858276,	8.392169e-10
102.56839990615845,	0.8720108,	9.431624e-05,	0,	23.991230010986328,	3.230803e-12,	23.842230081558228,	1.81449e-10,	23.768229961395264,	3.183933e-09,	23.693229913711548,	3.986859e-08,	23.917229890823364,	1.13103e-10,	24.06622004508972,	4.072672e-11,	23.619230031967163,	8.420687e-10
102.72059988975525,	0.8719344,	0.000145085,	0,	24.554460048675537,	3.228647e-12,	24.405459880828857,	1.816977e-10,	24.33046007156372,	3.176363e-09,	24.256459951400757,	3.976309e-08,	24.47946000099182,	1.131218e-10,	24.628459930419922,	4.143477e-11,	24.18145990371704,	8.466577e-10
102.87739992141724,	0.8719764,	4.996033e-05,	0,	25.11766004562378,	3.17987e-12,	24.96866011619568,	1.829878e-10,	24.893660068511963,	3.162865e-09,	24.819659948349,	3.976309e-08,	25.042659997940063,	1.112467e-10,	25.191659927368164,	4.152172e-11,	24.744659900665283,	8.423253e-10
103.00440001487732,	0.8719534,	-0.0002036547,	0,	25.67938995361328,	3.106917e-12,	25.53039002418518,	1.820926e-10,	25.456389904022217,	3.163215e-09,	25.38139009475708,	3.983949e-08,	25.605390071868896,	1.118844e-10,	25.754390001296997,	4.153851e-11,	25.307389974594116,	8.449354e-10
103.14660000801086,	0.8719611,	-0.000282938,	0,	26.242130041122437,	3.274275e-12,	26.093130111694336,	1.825933e-10,	26.019129991531372,	3.167641e-09,	25.94413995742798,	3.981768e-08,	26.168129920959473,	1.128965e-10,	26.317130088806152,	4.184672e-11,	25.870140075683594,	8.389416e-10
103.3050000667572,	0.8720184,	4.00121e-06,	0,	26.805130004882812,	3.138939e-12,	26.656130075454712,	1.818231e-10,	26.581130027770996,	3.173632e-09,	26.507129907608032,	3.965397e-08,	26.730129957199097,	1.125867e-10,	26.879120111465454,	4.114053e-11,	26.432130098342896,	8.42406e-10
103.46099996566772,	0.8719878,	-0.0001041402,	0,	27.367389917373657,	3.126013e-12,	27.218389987945557,	1.833764e-10,	27.144390106201172,	3.186247e-09,	27.069390058517456,	3.978859e-08,	27.293390035629272,	1.129585e-10,	27.442389965057373,	4.110162e-11,	26.995389938354492,	8.468057e-10
103.63280010223389,	0.8719955,	5.91598e-05,	0,	27.929630041122437,	3.342847e-12,	27.780630111694336,	1.822058e-10,	27.706629991531372,	3.145639e-09,	27.63163995742798,	3.989231e-08,	27.855629920959473,	1.11063e-10,	28.004630088806152,	4.129637e-11,	27.557640075683594,	8.450782e-10
103.792799949646,	0.8719993,	-0.0002820218,	0,	28.494420051574707,	3.426646e-12,	28.345410108566284,	1.813795e-10,	28.27041006088257,	3.18992e-09,	28.196409940719604,	3.982501e-08,	28.41940999031067,	1.122272e-10,	28.568419933319092,	4.180978e-11,	28.121400117874146,	8.412298e-10
